Estimator,Mean MSE,SD
emcee_posterior_mean,0.057633367406157085,0.009452918508016358
emcee_median+ridge,0.07139455823587092,0.015974043013040857
emcee_mode+ridge,0.09403979114285832,0.06528331437503347
emcee_median,0.10864383670729945,0.10211681869901973
emcee_mean+ridge,0.13334880958384254,0.12353391317395886
emcee_mode,0.9010621836252328,2.414272037620255
emcee_mean,1.4828895650198968,2.7659688542161343
ridge,0.05144522081536636,0.007991792796862029
pls+ridge,0.05182445015831923,0.008678154284693408
pca+ridge,0.05337457573391437,0.008392934424508567
fpca+ridge,0.05457137345700573,0.008687277738133568
manual+ridge,0.056877103896013206,0.006410161770927511
apls,0.05696102834273786,0.008580010134854838
pls1,0.06086089311816961,0.01377860584699442
fpls1,0.062059957376666974,0.01722168350303492
lasso,0.06282032092326913,0.012326171562389883
flin,0.07308304833645621,0.012935310602513532
rmh+ridge,0.543184108604901,0.43789033858446175
