Estimator,Mean MSE,SD
emcee_median+ridge,0.2514101741095214,0.41413223876008315
emcee_posterior_mean,0.271792031889585,0.2074968784008491
emcee_mean+ridge,0.3810142305844829,0.37554571305570406
emcee_mode+ridge,0.45536653196127075,0.5843742624510607
emcee_median,1.2239128722531019,0.8729623771662747
emcee_mean,2.4984960317963485,2.1235581108848174
emcee_mode,4.165259417327811,6.359045042395703
ridge,0.05144522081536636,0.007991792796862029
pls+ridge,0.05182445015831923,0.008678154284693408
pca+ridge,0.05337457573391437,0.008392934424508567
fpca+ridge,0.05457137345700573,0.008687277738133568
manual+ridge,0.056877103896013206,0.006410161770927511
apls,0.05696102834273786,0.008580010134854838
pls1,0.06086089311816961,0.01377860584699442
fpls1,0.062059957376666974,0.01722168350303492
lasso,0.06282032092326913,0.012326171562389883
flin,0.07308304833645621,0.012935310602513532
rmh+ridge,0.543184108604901,0.43789033858446175
