Estimator,Mean MSE,SD,Main strategy
emcee,0.08213264260017546,0.028804278378730654,posterior_mean
emcee+sk_ridge,0.12062183972557103,0.041499276438582824,median
manual_sel+sk_ridge,0.054152557780020746,0.010545007177507632,
manual_sel+sk_svm_rbf,0.05477040967055409,0.010284275892632819,
pls+sk_ridge,0.054853596350931344,0.011501681727793558,
sk_pls1,0.055916687212409596,0.013418350901210884,
pca+sk_ridge,0.056163711826104044,0.007381898783926908,
fpca+sk_ridge,0.05711969380408064,0.007380406456695621,
sk_apls,0.05765016038012958,0.011256759998082734,
sk_fpls1_basis,0.06222734402334491,0.01814247591290208,
pca+sk_svm_rbf,0.06245231265244724,0.020765536183543876,
sk_lasso,0.06264340409757518,0.01289003070742225,
sk_flin_basis,0.07120804459250005,0.013242299664965687,
fpca+sk_svm_rbf,0.08564709084332472,0.03006089672999239,
pls+sk_svm_rbf,0.1029188129979383,0.040166990791761024,
rmh+sk_ridge,0.37000031783462145,0.37006081563018356,
rmh+sk_svm_rbf,0.4159239370393199,0.3448147447077134,
sk_fknn,1.1176373864983364,0.3962266099877399,
