Estimator,Mean MSE,SD,Main strategy
emcee+ridge,0.1263011093742586,0.046627000460801954,mode
emcee,0.44463834039806205,0.35848216987825354,posterior_mean
pca+ridge,0.0519511563764022,0.01086621412455194,
pls+ridge,0.05219947095227475,0.005726963075129759,
fpca+ridge,0.05264035125773745,0.01220344029015298,
manual_sel+ridge,0.053412911432420364,0.010346040496207529,
apls,0.05379065936167855,0.007577950039205429,
fpls1_basis,0.055899532098686554,0.021076729935835464,
pls1,0.05754987520687492,0.012904498247437224,
lasso,0.05960691845040324,0.013828636648655619,
flin_basis,0.06572652408955194,0.017467008449735248,
rmh+ridge,0.27312169185725965,0.31673569332553286,
fknn,1.1122148761335842,0.3860098868414286,
