Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6665348803891276,0.1196437264542942,mode
emcee,0.7180589288034398,0.13241690936781483,median
sk_lasso,0.6931020913195691,0.10367385952336977,
sk_flin_basis,0.7647509996157409,0.1560342205100972,
rmh+sk_ridge,0.7774360818594361,0.11434969762063392,
manual_sel+sk_ridge,0.7799656199921874,0.13620169595437234,
sk_apls,0.7892828545715922,0.15052144947400473,
pls+sk_ridge,0.794622739558813,0.1271051231419355,
fpca+sk_ridge,0.8063926431207102,0.1134443372061874,
pca+sk_ridge,0.8125154956557585,0.116489256575037,
sk_fpls1_basis,0.8175914695203919,0.17610360149222243,
sk_pls1,0.8494787228851685,0.14977423058557454,
fpca+sk_svm_rbf,0.9439567121706519,0.18118804334762756,
rmh+sk_svm_rbf,1.6345863207202644,1.0616977216735142,
manual_sel+sk_svm_rbf,1.8041378017522132,0.7160867033465971,
sk_fknn,3.2200628220643113,1.4311434991633927,
pca+sk_svm_rbf,3.8451694797091904,2.1895267349133523,
pls+sk_svm_rbf,5.148266185396692,2.2087998919614855,
