Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6838687368340025,0.11265635480616794,mode
emcee,0.928458565542357,0.3634012580703956,posterior_mean
sk_lasso,0.7024985685724016,0.11234235959480958,
sk_pls1,0.7391704046602172,0.13820608975260032,
pls+sk_ridge,0.745412024121058,0.13741048911193307,
manual_sel+sk_ridge,0.7454780738617109,0.12623180479527177,
sk_flin_basis,0.7650268047014691,0.15462894547915315,
sk_apls,0.7797878311674676,0.1262360721984589,
fpca+sk_ridge,0.8000817396175843,0.11362416677259679,
rmh+sk_ridge,0.8011222881837888,0.10672346681294392,
pca+sk_ridge,0.8053619718405903,0.11661358809768246,
sk_fpls1_basis,0.8475503065203378,0.19060969692863122,
fpca+sk_svm_rbf,0.9327522999313844,0.17220040490370928,
rmh+sk_svm_rbf,1.101950341781623,0.18058722949576936,
manual_sel+sk_svm_rbf,1.9567294420358117,1.1605590493502653,
sk_fknn,3.202369907579039,1.4395390863178088,
pca+sk_svm_rbf,3.93174983842968,2.1767463417089234,
pls+sk_svm_rbf,4.615115044239168,1.909422817808042,
