Estimator,Mean MSE,SD,Main strategy
emcee+ridge,0.570162461242722,0.0780621078399465,mode
emcee,0.584680844753339,0.08514848295510938,mode
lasso,0.5855896626900986,0.1005263000791361,
manual_sel+ridge,0.6406510403241884,0.12056321054341751,
pls+ridge,0.65112707148338,0.10403639941299783,
apls,0.6739468282513466,0.10901289893320752,
pca+ridge,0.6793292003881872,0.11287976488770142,
fpls1_basis,0.6826833393246259,0.16469107400237337,
fpca+ridge,0.6832246803534547,0.11706683374144265,
flin_basis,0.6992382318725685,0.16612120335735936,
pls1,0.7056126723427454,0.1564888800760501,
rmh+ridge,0.837539240714206,0.13786890814303976,
fknn,2.3843444396239644,0.6505135958549608,
