Estimator,Mean MSE,SD
emcee_median+ridge,0.5596583896604865,0.05121241664716904
emcee_mode+ridge,0.5686450442022819,0.059519565770676124
emcee_median,0.5718127205225046,0.050078409137229926
emcee_mode,0.588817599781003,0.09103746744461397
emcee_mean+ridge,0.6614956219938871,0.1231119985907947
emcee_posterior_mean,0.6639714362246171,0.14198048927935866
emcee_mean,0.8622886496329812,0.32961413980788135
lasso,0.5704482267169879,0.05128366932349125
ridge,0.5833090678827507,0.05397436086838948
fpca+ridge,0.5841578923089576,0.06072513523368734
pca+ridge,0.5850181425092505,0.060647766785195824
manual+ridge,0.5867178551337412,0.05755228279817556
apls,0.5869659657733223,0.06497670281578802
flin,0.5939918721363295,0.06269443176518298
fpls1,0.5950070226065975,0.06156880263475312
pls+ridge,0.6344822719894024,0.06945651464452234
pls1,0.6383049323156202,0.07652850334711817
rmh+ridge,0.6931688243759135,0.0720497456785529
