Estimator,Mean MSE,SD
emcee_mode+ridge,0.6186764847834028,0.1095755601269467
emcee_posterior_mean,0.6764729439880451,0.2482278401818241
emcee_median+ridge,0.6921183437377479,0.2828846565798499
emcee_mode,0.7871776960294673,0.6095049886580091
emcee_median,0.9313746915460668,0.5581846491173902
emcee_mean+ridge,1.131922798827413,1.0318444495794714
emcee_mean,2.720260909470833,2.468353306438108
lasso,0.5704482267167768,0.05128366932346177
ridge,0.5833090678825207,0.053974360868176564
fpca+ridge,0.5841578923087561,0.06072513523341385
pca+ridge,0.5850181425090529,0.06064776678492295
manual+ridge,0.5867178551331576,0.057552282798007455
apls,0.5898418454551465,0.06627375697217804
flin,0.5939918721361181,0.06269443176498506
fpls1,0.5950070226063615,0.06156880263458607
pls+ridge,0.6344822719894343,0.06945651464425522
pls1,0.6383049323154963,0.07652850334722099
rmh+ridge,0.6931688243760507,0.07204974567845011
