Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6029589106933608,0.07584959363096684,mode
emcee,0.6927379045094362,0.15452818872678087,median
sk_apls,0.6239611806521541,0.08696228033425643,
sk_pls1,0.6306494318801044,0.08861489427919962,
pca+sk_ridge,0.6340799187377291,0.10085906224738285,
fpca+sk_ridge,0.634114977715946,0.09906029546738986,
sk_flin_basis,0.6352068279509243,0.11352351511853916,
manual_sel+sk_ridge,0.637822675121971,0.09866778571335325,
pls+sk_ridge,0.6399507248007028,0.09671664421101436,
sk_lasso,0.6412798991938995,0.08227718248743954,
sk_fpls1_basis,0.6421036256681247,0.08944479936828045,
fpca+sk_svm_rbf,1.4765323391679535,0.38791784271956953,
rmh+sk_ridge,2.0097285573326293,0.3633090701484171,
rmh+sk_svm_rbf,4.381971310284887,1.6219776668265296,
pls+sk_svm_rbf,9.516163528653557,4.7926716193079555,
pca+sk_svm_rbf,10.417249893406815,4.305257799831621,
manual_sel+sk_svm_rbf,10.423151035787534,4.206879123660387,
sk_fknn,20.60991130528576,5.3354548523685414,
