Estimator,Mean MSE,SD,Main strategy
emcee+ridge,0.7461658836205852,0.3450175744023033,median
emcee,1.945330850126871,1.391130723373798,posterior_mean
lasso,0.5504899388885551,0.07781359762742737,
apls,0.5564668312718519,0.07948710395366537,
manual_sel+ridge,0.559521499366441,0.08602224346626139,
fpls1_basis,0.5603542897608348,0.08197279348998107,
fpca+ridge,0.5619615674365912,0.0851585819437432,
pca+ridge,0.5623420392958425,0.08469897732857518,
pls+ridge,0.5633687207911261,0.08545098819526864,
pls1,0.5638683057766639,0.08395531665243075,
flin_basis,0.5664159513124922,0.0889241359903508,
rmh+ridge,1.440707249342928,0.2828863691795546,
fknn,19.968824683135782,4.139748279007126,
