Estimator,Mean MSE,SD,Main strategy
emcee+ridge,0.7892241990833317,0.30817784970691636,median
emcee,7.9630277045140705,16.913234198748608,posterior_mean
lasso,0.5535952001600986,0.07837122047523716,
manual_sel+ridge,0.5590355747592859,0.08619772197874308,
fpls1_basis,0.5596812328262314,0.08216981957071313,
apls,0.5600313899491136,0.08635730824441949,
fpca+ridge,0.5612004649211788,0.08436689602061395,
pca+ridge,0.5620713761509746,0.08468520022763569,
pls1,0.5635212494469907,0.08414787731852948,
pls+ridge,0.5637153450526021,0.08555337548888609,
flin_basis,0.5663925327503887,0.08892427188615973,
rmh+ridge,1.4367426993446326,0.2820059486388303,
fknn,20.014323268741713,4.158418036576065,
