Estimator,Mean MSE,SD
emcee_mode+ridge,0.5557467395186337,0.05404524990073494
emcee_median,0.5782355378885544,0.045285870334804336
emcee_median+ridge,0.6057827059980075,0.1395290440576768
emcee_posterior_mean,0.6345779145419832,0.09801293995802401
emcee_mean+ridge,0.9248824798117548,0.3766104817762434
emcee_mean,1.8386908438285077,1.375199184001785
emcee_mode,15.030245492711392,43.115130665306864
lasso,0.5410104301421257,0.06421049960661601
manual+ridge,0.5443574487404607,0.06524744185490339
ridge,0.5450338806723536,0.064578387447211
fpca+ridge,0.5454909953077084,0.06472357464392695
pca+ridge,0.545818525135022,0.06476677256986467
pls+ridge,0.5464946548954196,0.06651132166612611
flin,0.5465943362703541,0.06400127009978086
apls,0.5556658578137007,0.05221644494440861
fpls1,0.5588698868197604,0.06542309901363184
pls1,0.5605056017618356,0.06563968859729581
rmh+ridge,1.2095276849263155,0.14522499371531275
