Estimator,Mean MSE,SD
emcee_mode+ridge,0.8774991413263769,0.3042601742711487
emcee_posterior_mean,2.38581080925226,2.657843654339746
emcee_median+ridge,2.8681065008715385,6.291704493106826
emcee_mean+ridge,7.874699831361435,7.878365492762742
emcee_mean,18.52042589290101,38.25925072920731
emcee_mode,43.74178158935091,70.5842568271207
emcee_median,87.07077160205193,246.9342956226714
lasso,0.5410104301421257,0.06421049960661601
manual+ridge,0.5443574487404607,0.06524744185490339
ridge,0.5450338806723536,0.064578387447211
fpca+ridge,0.5454909953077084,0.06472357464392695
pca+ridge,0.545818525135022,0.06476677256986467
pls+ridge,0.5464946548954196,0.06651132166612611
flin,0.5465943362703541,0.06400127009978086
apls,0.5556658578137007,0.05221644494440861
fpls1,0.5588698868197604,0.06542309901363184
pls1,0.5605056017618356,0.06563968859729581
rmh+ridge,1.2095276849263155,0.14522499371531275
