Estimator,Mean MSE,SD
emcee_mean+ridge,0.03180210601157132,0.00522343754815505
emcee_posterior_mean,0.03188090146236826,0.006743785381106348
emcee_mode,0.032589856216694066,0.007766217958591315
emcee_median+ridge,0.03575907165305657,0.01048857596626829
emcee_mode+ridge,0.037343558007845626,0.014116401150361411
emcee_mean,0.04409432883768006,0.028320149606759496
emcee_median,0.056385996079308734,0.06523015409553892
pls+ridge,0.019559423795520704,0.005033711389915346
ridge,0.02458045252836345,0.005105539456058209
manual+ridge,0.025029348094905757,0.0051827248078978715
pca+ridge,0.025178726541775748,0.005337994055307282
fpca+ridge,0.02523729975432658,0.005654285945540897
pls1,0.025823824766479365,0.005912624099962841
fpls1,0.03047593862836162,0.0066821290368737
apls,0.03065756348706008,0.009200499061448094
flin,0.033340270636368324,0.007838229729997141
lasso,0.03706666409345134,0.009917483356257181
rmh+ridge,0.2901173388861748,0.036336153341888396
