Estimator,Mean MSE,SD,Main strategy
emcee,8.98948573577442,1.5648047603853232,posterior_mean
emcee+ridge,9.620977624714733,2.071992256181942,mode
manual_sel+ridge,6.217346863607634,1.4318990404957421,
pls1,6.878354432127464,1.2572453017373624,
pls+ridge,6.929700830070848,1.453575279606309,
fpca+ridge,7.311385775320543,1.5182275377071932,
pca+ridge,7.32000428346264,1.5467883346806683,
fpls1_basis,7.780193386853595,1.7989947384197684,
apls,7.8405188710096425,1.9347794950066073,
flin_basis,8.841996483390426,2.3467129268984217,
lasso,9.490506156502219,1.7014962105371136,
fknn,41.39375128487697,8.732024035940494,
rmh+ridge,65.0748946986095,9.739255516504816,
