Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,15.353004169361572,7.487486165499629,mode
emcee,244.9565622106174,365.362877417081,posterior_mean
manual_sel+sk_svm_rbf,6.662058461565325,2.8994941196185775,
manual_sel+sk_ridge,6.739615785323475,1.4329751361112597,
sk_pls1,7.395239235844565,1.3189768499167935,
pls+sk_ridge,7.4692799658257725,1.423738751457653,
fpca+sk_ridge,8.162978338565768,1.7382259791455585,
sk_fpls1_basis,8.165529254603886,1.547516806155952,
pca+sk_ridge,8.182573403404987,1.7502927304164606,
sk_apls,8.211096714689795,1.7751290427661743,
sk_flin_basis,9.527765946301463,2.227196602555076,
sk_lasso,10.087485280726094,2.3497952742446024,
pls+sk_svm_rbf,17.152303490168016,14.565228920277663,
pca+sk_svm_rbf,18.514493000744004,13.859699685417477,
fpca+sk_svm_rbf,20.8664183931992,16.876009617271844,
sk_fknn,41.00179663049933,7.906062350828235,
rmh+sk_ridge,65.36357699785466,9.561250622788581,
rmh+sk_svm_rbf,71.99066259749011,13.216222753544404,
