Estimator,Mean MSE,SD,Main strategy
emcee,0.030318321463040487,0.004826890518245511,median
emcee+sk_ridge,0.03431243359532515,0.011059556329184171,mode
manual_sel+sk_ridge,0.022040530834375644,0.005094865349138803,
manual_sel+sk_svm_rbf,0.022241587751293236,0.014231189405702185,
sk_pls1,0.024685147442346126,0.004994024562975378,
pls+sk_ridge,0.024960334154483232,0.005715541185927757,
sk_apls,0.025401504469149377,0.004751656874567108,
fpca+sk_ridge,0.025887742828246206,0.005221538708917167,
pca+sk_ridge,0.02597925677622165,0.005349442324045798,
sk_fpls1_basis,0.02746364517995135,0.005926035083357921,
sk_flin_basis,0.03206542594516838,0.008896419743062215,
sk_lasso,0.03399241194231675,0.006944831287908226,
pls+sk_svm_rbf,0.05196356907885635,0.036940124049582884,
pca+sk_svm_rbf,0.06997536291143273,0.05344076651776841,
fpca+sk_svm_rbf,0.07050765596008288,0.05371191012351721,
sk_fknn,0.17187350419826342,0.030601287160051078,
rmh+sk_ridge,0.29202035879961985,0.03216297811405185,
rmh+sk_svm_rbf,0.4986821394900133,0.570489284709665,
