Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.03556153273386593,0.010993835649399363,mode
emcee,0.04379809089007257,0.03667244472202293,mode
manual_sel+sk_svm_rbf,0.022050158175939034,0.01338467846790849,
manual_sel+sk_ridge,0.02235207653825417,0.005135512609134183,
sk_apls,0.024885296635234262,0.007038590812811782,
sk_pls1,0.024935531223020335,0.0050456161531230925,
pls+sk_ridge,0.025242972191323855,0.005763049912490866,
fpca+sk_ridge,0.025896841024182483,0.005213523821214035,
pca+sk_ridge,0.025932513303500347,0.005321016964653268,
sk_fpls1_basis,0.027445065645347617,0.005899225183795623,
sk_flin_basis,0.03187526846456913,0.008708730369619309,
sk_lasso,0.03466999274690923,0.006590431769668767,
pls+sk_svm_rbf,0.05269476885314478,0.036382887799715234,
fpca+sk_svm_rbf,0.07062355942853239,0.05383524234063336,
pca+sk_svm_rbf,0.0713202495622807,0.05401280311087996,
sk_fknn,0.1745496432144953,0.03192998737399894,
rmh+sk_ridge,0.28658630494939835,0.03825936299612483,
rmh+sk_svm_rbf,0.4121284949400228,0.34826741359757585,
