Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5617772558788686,0.27116185581283786,mode
emcee,2.6948937633622103,6.2981013578421425,posterior_mean
pca+sk_svm_rbf,0.42186998235583345,0.3192986051173541,
fpca+sk_svm_rbf,0.4219992174248848,0.31899128502779334,
manual_sel+sk_svm_rbf,0.43304764065083196,0.3457100772348121,
pls+sk_svm_rbf,0.4535714647116363,0.32419794118478085,
pca+sk_ridge,0.5169990301738835,0.23586498979076367,
fpca+sk_ridge,0.520067674729327,0.23769745758721192,
sk_fknn,0.5374490502082662,0.26824764131638257,
pls+sk_ridge,0.5544484571142827,0.23297407206756948,
manual_sel+sk_ridge,0.5561456167706335,0.2891661000922395,
sk_apls,0.5852110729518512,0.2630695561014027,
rmh+sk_ridge,0.5935397429072612,0.25240770604113594,
sk_pls1,0.5967281351160807,0.26961836721593335,
rmh+sk_svm_rbf,0.6014265750184613,0.34856614899532945,
sk_flin_basis,0.6240763616086369,0.3098731825510902,
sk_fpls1_basis,0.6432888306948533,0.27921602578236876,
sk_lasso,0.6574793266387575,0.34887277172661446,
