Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5371103332408994,0.2449278524558658,mode
emcee,1.5450531518794977,1.7550529490193605,posterior_mean
pca+sk_svm_rbf,0.43607578038932127,0.3286437161819097,
fpca+sk_svm_rbf,0.4361547051439502,0.32861713262983533,
pls+sk_svm_rbf,0.4455784469657706,0.3391117565971322,
manual_sel+sk_svm_rbf,0.46085060888253065,0.34520077503852487,
sk_fknn,0.5305408703439949,0.27459842904682613,
fpca+sk_ridge,0.5368967235528876,0.23466161303155958,
pca+sk_ridge,0.5370842107790639,0.23438224871567587,
sk_lasso,0.5466685865625187,0.30797972796685885,
pls+sk_ridge,0.565757766765647,0.24082673424752774,
rmh+sk_ridge,0.5852525275401582,0.25568165583865515,
sk_apls,0.5869473175935724,0.24471875556330389,
manual_sel+sk_ridge,0.6050421517360711,0.28757679342827086,
sk_pls1,0.6191228196320925,0.2891675545041736,
rmh+sk_svm_rbf,0.6206489012251699,0.32765442409414514,
sk_fpls1_basis,0.6531293482382715,0.29298706684966574,
sk_flin_basis,0.6641382156246939,0.3137995770026071,
