Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5457080648000726,0.09525593864893425,mean
emcee,0.54655802879888,0.10448820322007185,median
manual_sel+sk_ridge,0.5378180744686059,0.07729366491779138,
sk_pls1,0.5395339688760561,0.07374028043488766,
sk_lasso,0.5403911678127248,0.07929748288436636,
sk_apls,0.5429441145718632,0.07220704620937486,
fpca+sk_ridge,0.5473522901338546,0.07625662589263865,
pca+sk_ridge,0.5483372102421393,0.0764415764925861,
sk_fpls1_basis,0.5490315122822065,0.08492827813517764,
pls+sk_ridge,0.5496164838225217,0.07558885435480443,
fpca+sk_svm_rbf,0.5512566763392053,0.052813794846271495,
sk_flin_basis,0.5548268936864045,0.08527380216221359,
rmh+sk_ridge,0.5995654320017945,0.08808661947316032,
manual_sel+sk_svm_rbf,0.6227262017483126,0.0599070520277838,
pls+sk_svm_rbf,0.6249564911901038,0.05639826633328872,
sk_fknn,0.6317007896277209,0.06237462557326732,
pca+sk_svm_rbf,0.6391390266254101,0.05966967123578894,
rmh+sk_svm_rbf,0.6558398020980569,0.08431608047006571,
