Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5205697864918074,0.07062900602512592,mode
emcee,0.5285030746764952,0.07718640128003466,mode
sk_lasso,0.5273838315994144,0.07514807871477475,
manual_sel+sk_ridge,0.5412567769367717,0.0757936970164692,
sk_pls1,0.5465513381728682,0.07733956795848548,
fpca+sk_ridge,0.5475444555861443,0.07596259331622972,
fpca+sk_svm_rbf,0.5476973434170759,0.05587381605810146,
pca+sk_ridge,0.5489774033030063,0.07590021852982153,
pls+sk_ridge,0.5492889882075309,0.07361823535945362,
sk_apls,0.5503297532258433,0.07792165166076348,
sk_fpls1_basis,0.5537173192636795,0.08162823849504096,
sk_flin_basis,0.5546324905392067,0.08494892825260374,
rmh+sk_ridge,0.5898594519843139,0.08134291725816557,
pls+sk_svm_rbf,0.6272225168134158,0.05872515122561832,
manual_sel+sk_svm_rbf,0.6273672554419766,0.05957478958331914,
sk_fknn,0.6411344773983727,0.06880467917360397,
pca+sk_svm_rbf,0.6414526656454138,0.05876229224948086,
rmh+sk_svm_rbf,0.6901423467392848,0.15575756436065916,
