Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5302264536918451,0.07506659767426847,mean
emcee,0.5464360456181858,0.08473685011094222,posterior_mean
sk_lasso,0.5329630150243254,0.07610581157325814,
sk_fpls1_basis,0.5424163097388579,0.06966431376724827,
manual_sel+sk_ridge,0.5433480459975296,0.07548677831029374,
pls+sk_ridge,0.5501944076268901,0.07827451618642671,
sk_apls,0.5514249952178195,0.07282185009980839,
fpca+sk_ridge,0.5536404661169454,0.07691156192454257,
pca+sk_ridge,0.5547915404730391,0.07666576503559966,
sk_flin_basis,0.5553155453065136,0.08967714978087328,
sk_pls1,0.5554393996920373,0.0756891215575386,
fpca+sk_svm_rbf,0.5578421699012943,0.06655109658569996,
manual_sel+sk_svm_rbf,0.6267834761650655,0.05792870204774382,
pca+sk_svm_rbf,0.6361721395755741,0.04794031526249728,
pls+sk_svm_rbf,0.6465727583421982,0.06687973592744198,
sk_fknn,0.6535265203387219,0.08454508280817039,
rmh+sk_ridge,0.7274712621526903,0.1244310719049048,
rmh+sk_svm_rbf,0.8102133861507778,0.16005838156355032,
