Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5806315276915863,0.090582264770394,median
emcee,0.6083713212366028,0.07898816181008182,mode
sk_lasso,0.5855896626900986,0.1005263000791361,
manual_sel+sk_ridge,0.6406510403241884,0.12056321054341751,
pls+sk_ridge,0.65112707148338,0.10403639941299783,
sk_apls,0.6739468282513466,0.10901289893320752,
pca+sk_ridge,0.6793292003881872,0.11287976488770142,
sk_fpls1_basis,0.6826833393246259,0.16469107400237337,
fpca+sk_ridge,0.6832246803534547,0.11706683374144265,
sk_flin_basis,0.6992382318725685,0.16612120335735936,
sk_pls1,0.7056126723427454,0.1564888800760501,
fpca+sk_svm_rbf,0.7370014231675757,0.09112508930926676,
rmh+sk_ridge,0.837539240714206,0.13786890814303976,
manual_sel+sk_svm_rbf,1.4275070209624658,0.6079527891496338,
rmh+sk_svm_rbf,1.4423049526470657,0.6319238237770928,
sk_fknn,2.3843444396239644,0.6505135958549608,
pca+sk_svm_rbf,2.507831411472624,2.259281438495942,
pls+sk_svm_rbf,3.2037486644426125,1.471493854850182,
