Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6000480299164371,0.11025231829117378,median
emcee,0.6131113569267036,0.08064361081671993,median
sk_lasso,0.5899231737646696,0.10145638006444938,
manual_sel+sk_ridge,0.6234430180047752,0.11930103164886681,
pls+sk_ridge,0.6507498089288257,0.12032232831504477,
sk_apls,0.6525640110666716,0.11618423525624282,
pca+sk_ridge,0.6763757166335843,0.11414545690152075,
fpca+sk_ridge,0.681982924469139,0.11837346153760503,
sk_pls1,0.6840132268403273,0.17577408743960932,
sk_fpls1_basis,0.685219891776357,0.16258805701020784,
sk_flin_basis,0.6995563662608673,0.1661485497694024,
fpca+sk_svm_rbf,0.7396456412945394,0.08718344602507805,
rmh+sk_ridge,0.7604653452103695,0.12097178215741751,
rmh+sk_svm_rbf,1.3416349270417407,0.6198859526572751,
manual_sel+sk_svm_rbf,1.4735573494893404,0.7659075805958868,
sk_fknn,2.358409002499095,0.6703265782428002,
pca+sk_svm_rbf,2.4911224418824185,2.230254174373152,
pls+sk_svm_rbf,3.151204934610519,1.5205222054123322,
