Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5474425960868754,0.08187608760734576,mode
emcee,0.6759184410674853,0.19500821538492272,mode
sk_lasso,0.5723772694106051,0.08373494618856857,
manual_sel+sk_ridge,1.1073669048127857,0.10408059049830286,
pls+sk_ridge,1.2306775855661645,0.22046958489060028,
sk_pls1,1.2323494216806317,0.22242222099959533,
sk_apls,1.4410944812700106,0.20565433406321182,
sk_fpls1_basis,2.8809675799688383,0.44990040750155724,
sk_flin_basis,2.890621663079198,0.4656046421933981,
rmh+sk_ridge,2.9003098209161884,1.6283469164249313,
fpca+sk_ridge,3.675498445696713,0.2900347053896902,
pca+sk_ridge,3.6848079194621897,0.2903555800514913,
fpca+sk_svm_rbf,4.674314475581656,0.7299753880472828,
rmh+sk_svm_rbf,5.350679371482256,2.692829043756741,
pls+sk_svm_rbf,5.419832378322042,3.1253899442770128,
manual_sel+sk_svm_rbf,7.135656249437571,3.030141926029435,
pca+sk_svm_rbf,10.097472508814063,2.9985521045065044,
sk_fknn,17.58396932576514,3.8256160672529416,
