Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,1.692041825760929,0.3390967668858302,mode
emcee,1.8672624882901463,0.37705706629896146,mode
manual_sel+sk_ridge,1.3241455965627706,0.1878057315562437,
sk_lasso,1.723282964012095,0.36217537042373976,
sk_pls1,2.0991024954095683,0.37307162833807495,
pls+sk_ridge,2.0999788134223145,0.3616011429910547,
sk_apls,2.1630220625342744,0.34635046247463,
sk_fpls1_basis,2.7201464252820338,0.4064728182473012,
sk_flin_basis,2.750857095547511,0.4373868130841142,
rmh+sk_ridge,3.004259825104035,0.7708867163053651,
pca+sk_ridge,3.72540515642308,0.30118316766616315,
fpca+sk_ridge,3.732116997496617,0.2593842274562268,
fpca+sk_svm_rbf,4.943561763795775,0.9060670321922701,
rmh+sk_svm_rbf,5.615208394132839,2.833738791803748,
manual_sel+sk_svm_rbf,8.03380062155748,2.901106641678043,
pls+sk_svm_rbf,8.103975899177074,4.579407269967645,
pca+sk_svm_rbf,9.92577408272529,2.9703996091729628,
sk_fknn,17.593457988917162,3.646218343374619,
