Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6536475609415282,0.13772399789750467,mode
emcee,8.416187455597365,23.18345923877799,mode
sk_lasso,0.5504899388885551,0.07781359762742737,
sk_apls,0.5564668312718519,0.07948710395366537,
manual_sel+sk_ridge,0.559521499366441,0.08602224346626139,
sk_fpls1_basis,0.5603542897608348,0.08197279348998107,
fpca+sk_ridge,0.5619615674365912,0.0851585819437432,
pca+sk_ridge,0.5623420392958425,0.08469897732857518,
pls+sk_ridge,0.5633687207911261,0.08545098819526864,
sk_pls1,0.5638683057766639,0.08395531665243075,
sk_flin_basis,0.5664159513124922,0.0889241359903508,
fpca+sk_svm_rbf,1.0146384414523038,0.2326347623193008,
rmh+sk_ridge,1.440707249342928,0.2828863691795546,
rmh+sk_svm_rbf,3.206098600551718,0.9726814938293077,
pls+sk_svm_rbf,7.129762498798944,3.336795529933069,
manual_sel+sk_svm_rbf,9.241157257102392,4.856575336665683,
pca+sk_svm_rbf,9.519982904408547,5.387135824704021,
sk_fknn,19.968824683135782,4.139748279007126,
