Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6959807691097714,0.20701922017404975,mode
emcee,0.7202713233997562,0.2155643072180013,mode
sk_lasso,0.5535952001600986,0.07837122047523716,
manual_sel+sk_ridge,0.5590355747592859,0.08619772197874308,
sk_fpls1_basis,0.5596812328262314,0.08216981957071313,
sk_apls,0.5600313899491136,0.08635730824441949,
fpca+sk_ridge,0.5612004649211788,0.08436689602061395,
pca+sk_ridge,0.5620713761509746,0.08468520022763569,
sk_pls1,0.5635212494469907,0.08414787731852948,
pls+sk_ridge,0.5637153450526021,0.08555337548888609,
sk_flin_basis,0.5663925327503887,0.08892427188615973,
fpca+sk_svm_rbf,1.014257897345235,0.23180624882256323,
rmh+sk_ridge,1.4367426993446326,0.2820059486388303,
rmh+sk_svm_rbf,3.182444383259832,0.954123014654034,
pls+sk_svm_rbf,7.148321795103312,3.3451098097208396,
manual_sel+sk_svm_rbf,9.21613732990201,4.8409749075767,
pca+sk_svm_rbf,9.508111693661222,5.38686426893342,
sk_fknn,20.014323268741713,4.158418036576065,
