Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.03339844220751479,0.009787540150701242,mode
emcee,0.03615019721920735,0.017792453698972414,median
manual_sel+sk_ridge,0.02204053083395279,0.005094865348948777,
manual_sel+sk_svm_rbf,0.02224158775129499,0.014231189405706744,
sk_pls1,0.024685147442345876,0.004994024562975357,
pls+sk_ridge,0.024960334154483198,0.005715541185927791,
fpca+sk_ridge,0.025887742828246185,0.005221538708917115,
pca+sk_ridge,0.025979256776221583,0.0053494423240456725,
sk_apls,0.026883096534865526,0.005709818734490563,
sk_fpls1_basis,0.02746364517995365,0.005926035083355747,
sk_flin_basis,0.032065425945152944,0.008896419743033268,
sk_lasso,0.03399241194231679,0.0069448312879082765,
pls+sk_svm_rbf,0.05196356907885648,0.03694012404958334,
pca+sk_svm_rbf,0.06997536291143161,0.05344076651777073,
fpca+sk_svm_rbf,0.07050765596009359,0.05371191012351565,
sk_fknn,0.17187350419826342,0.030601287160051078,
rmh+sk_ridge,0.29202035879961985,0.03216297811405186,
rmh+sk_svm_rbf,0.4986821394900133,0.570489284709665,
